INSTNM,ADM_RATE,NPT4_048_PUB,NPT4_048_PRIV,COSTT4_A,PCTPELL,C150_4,PCTFLOAN,CDR3,GRAD_DEBT_MDN,md_faminc,md_earn_wne_p10
Midlands Technical College,NULL,5641,NULL,11399,0.5308,NULL,0.4345,14.4,12000,27064,28400
Morris College,NULL,NULL,12727,20419,0.8867,0.2644,0.9291,32.1,30175,21524,23200
Newberry College,0.5908,NULL,18405,37837,0.4655,0.4458,0.7514,15,27000,53768,33300
North Greenville University,0.5791,NULL,13677,28373,0.3817,0.5464,0.4719,6.9,20200,53275,31200
Orangeburg Calhoun Technical College,NULL,6754,NULL,12312,0.6089,NULL,0.2909,21.4,10500,19850,23700
Piedmont Technical College,NULL,7293,NULL,13076,0.6401,NULL,0.4019,22.6,11250,20618,25300
Presbyterian College,0.66,NULL,12395,45130,0.2254,0.6759,0.5209,6.2,25000,84599,41300
University of South Carolina-Aiken,0.5122,9403,NULL,18466,0.4158,0.4212,0.5839,8.2,26000,41442,37000
University of South Carolina-Beaufort,0.7304,11526,NULL,19354,0.3955,0.2689,0.6089,8.3,24250,34946,32400
University of South Carolina-Columbia,0.606,11384,NULL,23685,0.2394,0.7268,0.4922,4.7,22500,63282.5,42100
University of South Carolina-Lancaster,0.888,8647,NULL,16937,0.3182,NULL,0.3117,4.7,22500,31787.5,28100
University of South Carolina-Salkehatchie,0.7313,12658,NULL,19403,0.5328,NULL,0.5541,21.5,11000,22876.5,24600
University of South Carolina-Sumter,0.5456,7089,NULL,16781,0.3942,NULL,0.3842,12.7,12436,32332,32800
University of South Carolina-Union,0.7692,9549,NULL,17501,0.4989,NULL,0.463,27.5,18883,27215,28500
Coastal Carolina University,0.7404,12621,NULL,21601,0.377,0.4584,0.6858,10.6,25000,67086.5,36200
South Carolina State University,0.5079,17210,NULL,25265,0.7041,0.3568,0.8187,22.6,37000,28809,30400
University of South Carolina-Upstate,0.6422,11138,NULL,20848,0.4555,0.405,0.6512,8.9,23250,41002.5,36100
Sherman College of Straight Chiropractic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3994.5,NULL
Spartanburg Methodist College,0.8812,NULL,10155,25085,0.5154,NULL,0.6979,18.2,11298.5,42764.5,28700
Spartanburg Community College,NULL,4435,NULL,12676,0.5583,NULL,0.1675,18.9,5250,20984.5,24600
Central Carolina Technical College,NULL,7998,NULL,13550,0.6817,NULL,0.3747,21.5,9824,19351.5,25500
Sumter Beauty College,NULL,NULL,7096,NULL,0.814,NULL,0,0,NULL,14450.5,15500
Tri-County Technical College,NULL,8785,NULL,16086,0.4284,NULL,0.2119,30.9,8000,19656.5,26100
Trident Technical College,NULL,6145,NULL,12239,0.5337,NULL,0.4695,16.5,20000,25526.5,29100
Voorhees College,0.5051,NULL,15260,24486,0.873,0.3303,0.8841,17.8,25000,22252,26400
Williamsburg Technical College,NULL,9783,NULL,14439,0.6646,NULL,0,0,NULL,13064,19300
Winthrop University,0.7225,13291,NULL,24595,0.4045,0.5587,0.6564,9.3,27000,56621.5,36100
Wofford College,0.688,NULL,23459,47856,0.1902,0.8156,0.412,2.6,24000,91037,46800
York Technical College,NULL,6635,NULL,13006,0.6119,NULL,0.2122,17.7,10475,18944,25300
Augustana College,0.6809,NULL,13098,36828,0.2281,0.6643,0.6587,3.3,27000,76993.5,42600
Black Hills Beauty College,NULL,NULL,8181,NULL,0.4038,NULL,0.4231,17.7,11790,31026,17500
Black Hills State University,0.8924,12177,NULL,15906,0.3475,0.3347,0.5873,8,25950,45782.5,34400
Kilian Community College,NULL,NULL,23422,24803,0.7175,NULL,0.8364,35.4,24000.5,18887,22200
Dakota State University,0.8297,11534,NULL,17201,0.2364,0.4733,0.4321,9.1,24933,52416,37400
Dakota Wesleyan University,0.7023,NULL,13762,31596,0.4182,0.4221,0.8391,11.7,26500,42134,34100
Headlines Academy Inc,NULL,NULL,10066,NULL,0.4932,NULL,0.5479,15,10000,21439,16700
Lake Area Technical Institute,NULL,10574,NULL,15109,0.4453,NULL,0.8225,8,12000,44222.5,35000
Avera McKennan Hospital School of Radiologic Technology,NULL,NULL,NULL,NULL,0.05,NULL,0.9,0,NULL,54180,NULL
Mitchell Technical Institute,NULL,9128,NULL,14263,0.4053,NULL,0.6507,12.5,12000,38148.5,38000
Mount Marty College,0.7239,NULL,28484,33103,0.3118,0.5185,0.5203,8.1,28000,48944.5,32300
National American University-Rapid City,NULL,NULL,17070,21387,0.6962,0.1746,0.7789,21.4,34486,29341.5,37800
National American University-Sioux Falls,NULL,NULL,18122,21551,0.7224,0.2286,0.8895,21.4,34486,29341.5,37800
Sioux Falls Seminary,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.3,NULL,NULL,NULL
Northern State University,0.9334,11807,NULL,17334,0.2255,0.4853,0.4196,11.2,25654.5,48591.5,33200
Oglala Lakota College,NULL,3646,NULL,8996,0.5119,0.1311,0,0,NULL,8310,20000
Presentation College,0.6608,NULL,17802,26676,0.4933,0.3415,0.807,10.3,25000,39209,37100
Avera Sacred Heart Hospital,NULL,NULL,NULL,NULL,0,NULL,0,0,NULL,46442,NULL
South Dakota School of Mines and Technology,0.8608,13988,NULL,20234,0.2523,0.4566,0.5507,5,27100,57505.5,52300
South Dakota State University,0.919,12559,NULL,18547,0.2716,0.5566,0.6074,4.2,25000,63089,40600
Sinte Gleska University,NULL,NULL,15077,20101,0.5522,0.2381,0,0,NULL,7869,21400
University of Sioux Falls,0.969,NULL,16107,33909,0.2839,0.4747,0.7345,4.3,25000,62665.5,36900
Sanford Medical Center,NULL,NULL,NULL,NULL,0.0385,NULL,0.1923,0,NULL,46106,NULL
Sisseton Wahpeton College,NULL,7137,NULL,10346,0.6457,NULL,0,0,NULL,12634,20900
Southeast Technical Institute,NULL,11114,NULL,15085,0.4641,NULL,0.7601,14.3,13229,48149.5,36000
Stewart School,NULL,NULL,7643,NULL,0.3258,NULL,0.3846,3.6,7280,43675,NULL
University of South Dakota,0.8788,12506,NULL,18843,0.2876,0.5515,0.5899,6.4,24000,53346,39500
Western Dakota Technical Institute,NULL,9827,NULL,14726,0.5707,NULL,0.7389,19.5,12065,25685,31000
American Baptist College,NULL,NULL,23753,26086,0.646,0.5,0.7611,0,22375,18523,NULL
Aquinas College,0.521,NULL,26941,31324,0.3903,0.4138,0.6853,8,25312,41470,44400
Arnolds Beauty School,NULL,NULL,12124,NULL,0.6042,NULL,0.4063,22.8,9801.5,24212.5,16200
Tennessee College of Applied Technology-Athens,NULL,4402,NULL,NULL,0.3666,NULL,0,0,NULL,16953,26600
Austin Peay State University,0.8595,13975,NULL,18852,0.5384,0.3603,0.5866,13.7,25000,30942,34700
Baptist Memorial College of Health Sciences,0.463,NULL,5820,19745,0.4765,0.3878,0.8121,5.9,31424.5,41376,54900
Belmont University,0.7987,NULL,25389,41450,0.1756,0.6796,0.6481,1.9,23250,83588,39100
Bethel University,0.5103,NULL,17732,26864,0.607,0.302,0.7765,10.2,25000,37640.5,35200
Bryan College-Dayton,0.3762,NULL,11521,29489,0.3395,0.6154,0.4577,6.9,18750,55458.5,35500
Carson-Newman University,0.6657,NULL,12299,32446,0.4113,0.4954,0.6586,10.3,25500,52873,35400
Chattanooga State Community College,NULL,7659,NULL,13039,0.4885,NULL,0.4425,24,11815,23994,27700
Christian Brothers University,0.4745,NULL,5659,34413,0.4228,0.5668,0.6516,7.2,27000,41418,45300
Pentecostal Theological Seminary,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9.4,NULL,NULL,NULL
Cleveland State Community College,1,4751,NULL,10764,0.4874,NULL,0.3517,18,11362,24530.5,27300
Columbia State Community College,NULL,5340,NULL,11572,0.429,NULL,0.2236,17.8,11000,27382.5,28500
Concorde Career College-Memphis,1,NULL,19077,NULL,0.5217,NULL,0.5581,16,9500,13385,22600
Tennessee College of Applied Technology-Covington,NULL,6194,NULL,NULL,0.5263,NULL,0,0,NULL,16128,23000
Cumberland University,0.473,NULL,14383,33402,0.3976,0.3714,0.6097,8.4,22143,47713,35000
Lipscomb University,0.527,NULL,18017,37181,0.2854,0.64,0.5766,3.5,22125,79148,39000
Spark,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.5,22125,NULL,NULL
Tennessee College of Applied Technology-Dickson,NULL,9084,NULL,NULL,0.5506,NULL,0,0,NULL,16355,26500
Daymar Institute-Nashville,NULL,NULL,25020,28539,0.8584,0.4239,0.8283,20,23658,19308,22500
Dyersburg State Community College,NULL,8827,NULL,14428,0.5219,NULL,0.2779,22.6,8000,22779,27600
East Tennessee State University,0.8649,13101,NULL,22485,0.4367,0.4129,0.5122,12.4,20259,36276,34000
Chattanooga College Medical Dental and Technical Careers,NULL,NULL,19709,24954,0.8974,NULL,0.9091,15.8,20110,16340,25100
Tennessee College of Applied Technology-Elizabethton,NULL,7214,NULL,NULL,0.4744,NULL,0,0,NULL,15117,25000
Emmanuel Christian Seminary,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.6,NULL,NULL,NULL
Fayetteville College of Cosmetology Arts and Sciences,NULL,NULL,14630,NULL,0.5897,NULL,0.6325,19.1,6275,17924,16700
Fisk University,0.3968,NULL,19390,38893,0.6206,0.5217,0.7098,10.4,27500,38568,33800
Welch College,NULL,NULL,15991,25413,0.3987,0.4576,0.4937,19.1,24375,53999,31200
Freed-Hardeman University,0.9203,NULL,16669,32814,0.3423,0.5325,0.6225,8.2,26950,64443,37000
Tennessee College of Applied Technology-Harriman,NULL,7134,NULL,NULL,0.4866,NULL,0,0,NULL,15745.5,26600
Tennessee College of Applied Technology-Hartsville,NULL,5934,NULL,NULL,0.3428,NULL,0,0,NULL,16658,NULL
Hiwassee College,0.5836,NULL,14485,27295,0.416,0.0838,0.4496,37.9,11500,29707.5,25500
Tennessee College of Applied Technology-Hohenwald,NULL,9383,NULL,NULL,0.6749,NULL,0,0,NULL,17921,26200
Tennessee College of Applied Technology-Jacksboro,NULL,6476,NULL,NULL,0.7017,NULL,0,0,NULL,12364,25600
Jackson State Community College,NULL,8635,NULL,14503,0.4874,NULL,0.0022,0,NULL,19790,27200
John A Gupton College,NULL,NULL,12015,19114,0.5725,NULL,0.5725,9.8,18672,34189,NULL
Johnson University,0.5464,NULL,10816,19898,0.4878,0.5723,0.601,7.4,22620,53910.5,29400
Paul Mitchell the School-Nashville,NULL,NULL,13785,NULL,0.4089,NULL,0.5879,12.2,13150,15998,NULL
King University,0.6377,NULL,13262,36533,0.459,0.5165,0.6903,5.5,20500,52011,39700
South College,NULL,NULL,28079,34415,0.4816,0.2826,0.7293,18.5,31332,20445,22400
Knoxville Institute of Hair Design,NULL,NULL,5218,NULL,0.527,NULL,0,0,NULL,NULL,NULL
Lane College,0.4916,NULL,10773,17406,0.9246,0.3082,0.9312,12.9,31478,25617,25000
Le Moyne-Owen College,0.2335,NULL,12004,16427,0.7616,0.1685,0.8312,19,NULL,17437.5,28300
Lee University,0.9165,NULL,10964,23554,0.3926,0.5313,0.5246,11.3,28000,54410,32400
Lincoln Memorial University,0.6995,NULL,7516,31241,0.5057,0.5304,0.866,5.3,18832,31386,37500
Tennessee College of Applied Technology-Livingston,NULL,4959,NULL,NULL,0.3838,NULL,0,0,NULL,16959.5,25300
Martin Methodist College,NULL,NULL,14707,31701,0.5588,0.4279,0.6213,21.7,22875,36518.5,29100
Maryville College,0.7259,NULL,11366,41481,0.4254,0.5584,0.7045,5.8,27000,61945.5,36500
Tennessee College of Applied Technology-McKenzie,NULL,9533,NULL,NULL,0.8669,NULL,0,0,NULL,16981,20400
Genesis Career College-Cookeville,NULL,NULL,10331,NULL,0.8002,NULL,0.8445,7.7,8500,13949,NULL
Meharry Medical College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.4,NULL,6418,126700
Memphis College of Art,0.3978,NULL,18893,37855,0.5694,0.4722,0.7803,16.6,31500,39874.5,26700
Tennessee College of Applied Technology-Memphis,NULL,5586,NULL,NULL,0.522,NULL,0,0,NULL,13796.5,27200
University of Memphis,0.6841,10067,NULL,20899,0.471,0.432,0.6224,12.4,26393.5,29727,37000
Memphis Theological Seminary,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12.5,NULL,NULL,NULL
Victory University,0.9547,NULL,19664,23179,0.5951,0.0541,0.6499,NULL,40625,28788,39000
Middle Tennessee State University,0.6996,6864,NULL,17501,0.4485,0.4565,0.5732,11.6,22170.5,42980,36100
Middle Tennessee School of Anesthesia Inc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Milligan College,0.683,NULL,11813,36252,0.3567,0.5206,0.6025,2.8,24100,63207.5,36400
Tennessee College of Applied Technology-Morristown,NULL,7752,NULL,NULL,0.422,NULL,0,0,NULL,15627,25400
Motlow State Community College,0.4226,6654,NULL,12466,0.3066,NULL,0.1207,22.7,5025,26146,26700
Tennessee College of Applied Technology-Murfreesboro,NULL,9564,NULL,NULL,0.607,NULL,0,0,NULL,18531,29800
Lincoln College of Technology-Nashville,NULL,NULL,13867,NULL,0.6832,NULL,0.757,26.1,12473.5,39069,38900
Nashville College of Medical Careers,NULL,NULL,22246,NULL,0.9314,NULL,0.9495,7.6,8800,14568,23200
Nashville State Community College,NULL,5866,NULL,11144,0.4845,NULL,0.3538,20.4,13000,21560,30100
Tennessee College of Applied Technology-Newbern,NULL,6907,NULL,NULL,0.611,NULL,0,0,NULL,17376,22200
O'More College of Design,0.5816,NULL,20004,35632,0.322,0.4286,0.5122,8.3,29500,55868,NULL
Tennessee College of Applied Technology-Paris,NULL,6846,NULL,NULL,0.8619,NULL,0,0,NULL,13323,20900
Plaza Beauty School,NULL,NULL,13054,NULL,0.4428,NULL,0.5535,12.3,11802,17381.5,17300
Tennessee College of Applied Technology-Pulaski,NULL,8363,NULL,NULL,0.2778,NULL,0,0,NULL,20135,22300
Rhodes College,0.5764,NULL,18551,50659,0.1426,0.7832,0.3979,4.2,27000,100407,50300
Tennessee College of Applied Technology-Ripley,NULL,6311,NULL,NULL,0.6091,NULL,0,0,NULL,17046.5,23300
Roane State Community College,0.9922,6943,NULL,13454,0.478,NULL,0.23,17.2,11236,23312,26400
Tennessee College of Applied Technology-Crump,NULL,4616,NULL,NULL,0.967,NULL,0,0,NULL,15439,21600
Southwest Tennessee Community College,1,4898,NULL,9956,0.597,NULL,0,0,NULL,14905,24700
Tennessee College of Applied Technology-Shelbyville,NULL,6207,NULL,NULL,0.4808,NULL,0,0,NULL,19907,29400
Sewanee-The University of the South,0.6027,NULL,22427,46530,0.1756,0.7805,0.167,4.8,19500,81758,38200
Tennessee College of Applied Technology-Oneida-Huntsville,NULL,6227,NULL,NULL,0.3562,NULL,0,0,NULL,13526,24200
Tennessee College of Applied Technology-Crossville,NULL,7306,NULL,NULL,0.496,NULL,0,0,NULL,15688,23000
Tennessee College of Applied Technology-McMinnville,NULL,9244,NULL,NULL,0.8317,NULL,0,0,NULL,18079,25400
Tennessee College of Applied Technology-Jackson,NULL,7429,NULL,NULL,0.7745,NULL,0,0,NULL,15643.5,26700
Tennessee College of Applied Technology-Knoxville,NULL,5330,NULL,NULL,0.3257,NULL,0,0,NULL,13459,22200
Tennessee College of Applied Technology-Whiteville,NULL,11883,NULL,NULL,0.5745,NULL,0,0,NULL,14222,21700
Pellissippi State Community College,NULL,7825,NULL,13678,0.4133,NULL,0.2645,19.6,11250,24226,26900
Southern Adventist University,0.3826,NULL,14730,29085,0.3764,0.5969,0.5863,6.3,26266,57374,38500
Southern College of Optometry,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,9122.5,NULL
Tennessee Wesleyan College,0.713,NULL,9933,28119,0.4589,0.4444,0.6667,9.5,21000,45726.5,35300
The University of Tennessee-Chattanooga,0.7757,7539,NULL,19192,0.3527,0.3714,0.6922,8.9,20500,43600,36500
The University of Tennessee-Knoxville,0.7249,9038,NULL,24746,0.2991,0.6754,0.4396,6,20338.5,55229,42300
The University of Tennessee-Martin,0.7668,4939,NULL,16227,0.4709,0.4645,0.5605,13.1,23750,41497,34800
Fountainhead College of Technology,NULL,NULL,25516,29878,0.4569,0.9032,0.4569,17.4,20000,29237.5,37600
Tennessee School of Beauty of Knoxville Inc,NULL,NULL,10412,NULL,0.2515,NULL,0.0552,0,5500,13254,16500
Tennessee State University,NULL,8895,NULL,16903,0.6656,0.2956,0.7748,11.5,28500,33626,35800
Tennessee Technological University,0.9316,8585,NULL,19900,0.3695,0.5064,0.4547,8.7,15625,45109,37700
Tennessee Temple University,0.7843,NULL,14008,23217,0.7909,0.1897,0.9395,25.4,22583,52157,33300
Trevecca Nazarene University,0.772,NULL,15275,30820,0.4226,0.4664,0.713,4.3,18750,58888,39500
Northeast State Community College,NULL,6114,NULL,11771,0.518,NULL,0.2299,23.9,9000,21690,26100
Tusculum College,0.7225,NULL,17569,32783,0.5874,0.3391,0.753,11.4,27911,41744.5,40000
Union University,0.7412,NULL,18981,40415,0.281,0.6364,0.5108,4.1,23438,53200.5,37400
New Concepts School of Cosmetology,NULL,NULL,8695,NULL,0.1129,NULL,0.0968,20,NULL,NULL,NULL
Vanderbilt University,0.1274,NULL,7147,59890,0.1429,0.9252,0.1349,1.3,13750,74999.5,60900
Volunteer Beauty Academy-Dyersburg,NULL,NULL,10089,NULL,0.5203,NULL,0.4472,14.2,8160,21645.5,12500
Volunteer State Community College,NULL,8051,NULL,13933,0.3877,NULL,0.2042,17.4,6500,28986.5,30100
Walters State Community College,0.9974,3430,NULL,9931,0.427,NULL,0.1316,19.7,6275.5,21447,26200
West Tennessee Business College,NULL,NULL,12537,NULL,0.815,NULL,0.82,29.5,9500,14343,19200
William Moore College of Technology,NULL,NULL,11256,13738,0.3212,NULL,0,0,NULL,10349.5,NULL
Abilene Christian University,0.4894,NULL,20962,39811,0.2347,0.5637,0.5601,7.5,26237.5,75873.5,40200
Alvin Community College,NULL,7111,NULL,11617,0.1545,NULL,0.0728,12,6750,20987,33000
Amarillo College,NULL,5330,NULL,10206,0.4618,NULL,0.1657,22.3,11983,21945,31300
American Commercial College-San Angelo,NULL,NULL,31475,NULL,0.8581,NULL,0.8968,34.9,13739,14169,20600
American Commercial College-Odessa,NULL,NULL,21046,NULL,0.6377,NULL,0.6812,45.3,10146,13359,20800
Angelina College,NULL,5493,NULL,10274,0.4335,NULL,0,0,NULL,17695,26900
Angelo State University,0.8049,9941,NULL,19511,0.4264,0.2975,0.5526,13.4,21594,43559,38000
Arlington Baptist College,NULL,NULL,11277,16405,0.6395,0.3333,0.8369,11.8,21000,43424,34000
Arlington Career Institute,NULL,NULL,20181,NULL,0.632,NULL,0.7212,22.5,9500,19530,28000
The Art Institute of Houston,NULL,NULL,25516,30536,0.5836,0.39,0.7812,22.8,30500,35807.5,32900
Austin College,0.5861,NULL,18089,45800,0.2842,0.7177,0.7665,2.6,26000,83025,47600
Austin Community College District,NULL,8216,NULL,13622,0.2607,NULL,0.2822,20.8,11500,24123.5,34700
Austin Presbyterian Theological Seminary,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL
Baldwin Beauty School-South Austin,NULL,NULL,8111,NULL,0.5752,NULL,0,0,NULL,10305,22200
Baptist Health System School of Health Professions,NULL,NULL,NULL,NULL,0.5383,NULL,0.9333,7,19678,NULL,60800
Baptist Missionary Association Theological Seminary,1,NULL,NULL,NULL,0.6545,1,0.2,0,NULL,16459,NULL
Texas A & M University Health Science Center,NULL,NULL,NULL,NULL,0.1748,NULL,0.5534,4.8,19253,31154,NULL
Baylor College of Medicine,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.1,NULL,6598,129000
Baylor University,0.5747,NULL,26982,51086,0.22,0.7472,0.4916,4.8,25281,72163,49100
Coastal Bend College,NULL,5420,NULL,10646,0.3546,NULL,0.1471,23.4,NULL,18980.5,26300
Blinn College,NULL,11603,NULL,13458,0.2558,NULL,0.4074,19.5,11840,35758,36900
Remington College-Dallas Campus,0.8065,NULL,22741,27742,0.7348,0.6283,0.5294,9.5,9500,12296.5,27200
Vet Tech Institute of Houston,0.6525,NULL,13658,18534,0.559,NULL,0.8205,11.5,15939,28233,28600
Brazosport College,NULL,3471,NULL,9026,0.1766,0.1549,0.0315,18.4,7750,17417.5,29900
Brookhaven College,NULL,6454,NULL,11714,0.2665,NULL,0.086,14.2,NULL,22836,37500
Capitol City Trade and Technical School,NULL,NULL,27649,NULL,0.8472,NULL,0.8515,9.3,9500,16776,26800
Capitol City Careers,NULL,NULL,26949,NULL,0.7407,NULL,0.6296,14.4,NULL,14038,23500
Cedar Valley College,NULL,5777,NULL,10583,0.4243,NULL,0.1598,19.6,NULL,19128,29000
Central Texas College,NULL,4052,NULL,9477,0.3305,NULL,0.3037,20.7,8076.5,18872,33700
Charles and Sues School of Hair Design,NULL,NULL,14196,NULL,0.662,NULL,0.6901,9.7,10750,18242,14600
Cisco College,NULL,7250,NULL,12321,0.343,NULL,0.198,17.4,11000,24409,30400
Clarendon College,NULL,8116,NULL,11314,0.4962,NULL,0.3472,27.3,8500,25063,29200
Concordia University-Texas,0.4685,NULL,21046,37394,0.3924,0.3438,0.7106,6.7,25500,58229.5,41000
Conlee's College of Cosmetology,NULL,NULL,5468,NULL,0.4706,NULL,0,0,NULL,12766,NULL
North Central Texas College,NULL,4097,NULL,9734,0.2711,NULL,0.2177,15.5,7350,17746,32400
Texas A & M University-Corpus Christi,0.9258,13043,NULL,17782,0.4177,0.4021,0.5459,12.1,22750,36327,42400
Cosmetology Career Center LLC,NULL,NULL,19110,NULL,0.3731,NULL,0.5373,10.7,13310,35396,23400
Court Reporting Institute of Dallas,NULL,NULL,22401,26868,0.285,NULL,0.3475,8.9,NULL,28878.5,30400
Dallas Baptist University,0.423,NULL,18093,32489,0.3034,0.5518,0.6157,6.9,23430,48905.5,42200
Dallas Christian College,0.5516,NULL,17455,24499,0.4693,0.3023,0.7239,12.9,NULL,42236,42200
Dallas Institute of Funeral Service,NULL,NULL,17493,20182,0.8141,NULL,0.7949,18.2,9500,23416,33200
Dallas Theological Seminary,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
University of Dallas,0.9011,NULL,20810,47437,0.2153,0.6602,0.5066,3.5,25640.5,86001,45200
Del Mar College,NULL,4569,NULL,10405,0.3755,NULL,0.1645,19.7,7000,19123,29100
Career Point College,NULL,NULL,22275,27557,0.7384,0.2239,1,21.3,13254,11551.5,19400
East Texas Baptist University,0.7362,NULL,16315,30172,0.4601,0.3333,0.722,12.5,23321,52871,36700
Texas A & M University-Texarkana,0.3723,7054,NULL,14147,0.4616,NULL,0.3971,10.4,12544.5,25193,35800
Texas A & M University-Commerce,0.6818,8529,NULL,18487,0.4948,0.4518,0.5986,11,21228,32165,37100
Eastfield College,NULL,6823,NULL,11702,0.3699,NULL,0.1073,17.7,NULL,20058.5,31800
El Centro College,NULL,5874,NULL,10902,0.3924,NULL,0.1366,17.2,NULL,15555,28800
El Paso Community College,NULL,3414,NULL,9466,0.4653,NULL,0.0613,14.5,6478,17801,25500
Western Technical College,NULL,NULL,20138,NULL,0.702,NULL,0.6721,13.4,11204,18033,30600
Western Technical College,NULL,NULL,20231,NULL,0.7904,NULL,0.7495,13.4,11204,18033,30600
Exposito School of Hair Design,NULL,NULL,9764,NULL,0.581,NULL,0.3619,10.8,4510,21880.5,16600
South University-The Art Institute of Dallas,NULL,NULL,25822,31013,0.5889,0.2656,0.8091,23.1,27167,44553.5,29800
Fort Worth Beauty School,NULL,NULL,9448,NULL,0.8167,NULL,0.7944,32.6,7477.5,13696,17000
Frank Phillips College,NULL,5549,NULL,11024,0.3333,NULL,0.2072,29.8,8000,22085.5,29500
Galveston College,NULL,2873,NULL,8025,0.3883,NULL,0.1197,17.5,10125,16914,30400
Galveston College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17.5,10125,NULL,30400
Grayson College,NULL,8662,NULL,14438,0.4399,NULL,0.325,25.2,8974.5,20738,32200
Hallmark College,NULL,NULL,15533,NULL,0.5625,0.4826,0.5164,6.9,19157,19044,34400
